track_name,price,rating_count_tot,user_rating,prime_genre
Grand Theft Auto: Chinatown Wars,1.0,15142,4.0,Games
Southwest Airlines,0.0,30552,3.0,Travel
The Sims 3 World Adventures,1.0,9744,3.5,Games
Star Chart,0.0,13482,4.5,Education
TaxCaster – Free tax refund calculator,0.0,17516,3.5,Finance
Glow Hockey 2 FREE,0.0,186653,3.5,Games
"Big Button Box - funny sounds, sound effects buttons, pro fx soundboard, fun games board, scary music, annoying fart noises, jokes, super cool dj effect, cat, dog & animal fx",1.0,10031,4.0,Entertainment
TV SPIELFILM - TV Programm mit Live TV,0.0,81,3.0,Entertainment
All-in-1 Logic GameBox,1.0,9854,4.0,Games
Roadside America,1.0,1093,4.0,Travel
Pocket Yoga,1.0,4475,4.5,Health & Fitness
Sonic the Hedgehog 2,1.0,9405,4.0,Games
Simply Being - Guided Meditation for Relaxation and Presence,1.0,2417,4.5,Health & Fitness
CamCard - Business card scanner & reader,1.0,2923,4.5,Business
This American Life,1.0,8657,3.5,Entertainment
Timetracks - Slit-Scan Camera,1.0,70,2.0,Photo & Video
franceinfo - l'actualité & les élections en direct,0.0,162,4.0,News
DOUBUTSU URANAI®-Animal Fortune-,1.0,5,4.0,Lifestyle
Doodle Army,1.0,12354,4.0,Games
Ameba,0.0,269,3.0,Social Networking
eBook: War and Peace,1.0,0,0.0,Book
Plants vs. Zombies,1.0,426463,5.0,Games
Weibo,0.0,7265,3.5,Social Networking
大众点评-发现品质生活,0.0,844,4.0,Lifestyle
AlloCiné : Cinéma et Séries,0.0,101,4.0,Entertainment
"Badoo - Meet New People, Chat, Socialize.",0.0,34428,4.5,Social Networking
Flick Kick Field Goal,1.0,36946,4.5,Games
Venmo,0.0,21090,4.5,Finance
"Dungeons & Such Treasures,Collectibles and Dragons",1.0,653,4.5,Games
"StarMap 3D+: Night Sky, Astronomy, Star View Guide",1.0,1118,4.5,Education
Shift Worker,1.0,348,4.0,Productivity
"Spy Calc - Hide pictures, videos, documents",1.0,207,3.5,Utilities
Waterlogged - Daily Hydration Tracker,0.0,5000,4.5,Health & Fitness
MyNetDiary PRO - Calorie Counter and Food Diary,1.0,15188,4.5,Health & Fitness
The Washington Post Classic,0.0,18572,4.5,News
F-Sim Space Shuttle,1.0,6403,4.5,Games
"Groupon - Deals, Coupons & Discount Shopping App",0.0,417779,4.5,Shopping
Learn to Speak Spanish Fast With MosaLingua,1.0,9,5.0,Education
"Coaster VR, Extreme Endless 3D Stereograph",1.0,107,2.5,Entertainment
Parents Calling Easter Bunny,1.0,72,2.0,Lifestyle
Sporcle,1.0,2044,3.5,Games
"Univision Deportes: Liga MX, MLS, Fútbol En Vivo",0.0,16683,3.5,Sports
DOOM II RPG,1.0,1455,3.0,Games
STREET FIGHTER IV,1.0,15056,4.0,Games
Dr. Seuss Camera - The Cat in the Hat Edition,1.0,249,4.5,Photo & Video
FINAL FANTASY,1.0,6091,4.0,Games
FINAL FANTASY II,1.0,2754,4.0,Games
Worms 2: Armageddon,1.0,9870,4.5,Games
SoundHound Song Search & Music Player,0.0,82602,4.0,Music
Jourist Weltübersetzer,1.0,0,0.0,Travel
TeachMe: 1st Grade,1.0,762,4.0,Education
TeachMe: 3rd Grade,1.0,160,4.0,Education
ヤフオク! 利用者数NO.1のオークション、フリマアプリ,0.0,9,3.0,Shopping
Kik,0.0,260965,4.0,Social Networking
Slow Shutter Cam,1.0,2305,4.0,Photo & Video
PeakFinder Earth,1.0,137,4.0,Travel
AgingBooth,0.0,11999,4.0,Entertainment
"iWatermark - Watermark 1 or Batch of Photos. Watermarking with Text, Logo, & Graphics Overlays.",1.0,1995,4.5,Photo & Video
Tabs & Chords by Ultimate Guitar - learn and play,1.0,35045,4.5,Music
"Dude, your car!",1.0,343,4.0,Entertainment
Drawing Pad,1.0,1824,4.0,Entertainment
ESPN Tournament Challenge,0.0,39642,4.0,Sports
Solitaire,0.0,679055,4.5,Games
Notability,1.0,17594,4.0,Productivity
Rubik's® Cube,1.0,3531,4.0,Games
Super Why! Power to Read,1.0,1080,3.5,Education
Amex Mobile,0.0,11421,4.0,Finance
Fruit Ninja Classic,1.0,698516,4.5,Games
Animation Creator HD,1.0,4497,4.0,Entertainment
Plants vs. Zombies HD,1.0,163598,5.0,Games
SCRABBLE Premium for iPad,1.0,39678,3.5,Games
Graphic - illustration and design,1.0,1809,4.5,Productivity
Ship Finder,1.0,624,3.5,Navigation
Photogene ⁴,1.0,3761,4.5,Photo & Video
Hurricane HD,1.0,353,4.0,Weather
Star Walk HD - Night Sky Map,1.0,6503,4.5,Education
Space War HD,1.0,71,3.0,Games
Netflix,0.0,308844,3.5,Entertainment
forScore,1.0,3909,4.5,Music
ComicGlass [ComicReader],1.0,308,4.5,Utilities
iAnnotate PDF,1.0,11156,4.5,Productivity
ArtStudio for iPad - Draw Sketch and Paint,1.0,8542,4.5,Photo & Video
Call of Duty: Zombies HD,1.0,5853,3.5,Games
Small World 2,1.0,1506,4.0,Games
Qzone,0.0,1649,3.5,Social Networking
ABC – Watch Live TV & Stream Full Episodes,0.0,78890,3.0,Entertainment
Fieldrunners for iPad,1.0,2147,4.0,Games
Angry Birds HD,0.0,89110,4.5,Games
"The Weather Channel App for iPad – best local forecast, radar map, and storm tracking",0.0,208648,4.0,Weather
Do Not Press The Red Button HD,1.0,856,2.5,Entertainment
"Digits, the calculator for humans",1.0,7825,4.5,Productivity
"PDF Reader Pro Edition - Annotate,edit & sign PDFs",1.0,7033,4.0,Business
National Geographic World Atlas,1.0,4255,4.0,Reference
FileBrowser - Access files on remote computers,1.0,3230,4.5,Utilities
Dictionary.com Dictionary & Thesaurus for iPad,0.0,54175,4.5,Reference
Animation & Drawing by Do Ink,1.0,308,4.0,Education
AirCoaster - Roller Coaster Builder,1.0,2602,3.0,Games
"Documents 6 - File manager, PDF reader and browser",0.0,29110,4.5,Productivity
The World Factbook for iPad,1.0,273,3.5,Reference
Photo Transfer App - Easy backup of photos+videos,0.0,15654,4.5,Photo & Video
